Longitude,Latitude
-122.80949,49.256125
-122.812307,49.256567
-122.846568,49.249318
-122.846463,49.25169
-123.114596,49.284575
-122.846664,49.251043
-123.082751,49.310752
-123.072182,49.322458
-123.071305,49.335572
-123.038743,49.336607
-123.078171,49.312172
-123.077304,49.313011
-123.075821,49.314475
-123.073316,49.316942
-123.072585,49.317657
-123.072239,49.320351
-123.072122,49.324592
-123.072103,49.326626
-123.07203,49.32862
-123.071991,49.330025
-123.07187,49.334503
-123.068457,49.335578
-123.065637,49.33557
-123.061435,49.335549
-123.058454,49.335533
-123.0542,49.335507
-123.049839,49.335457
-123.045671,49.335421
-123.043402,49.335409
-123.040994,49.335451
-123.105744,49.359304
-123.10283,49.364701
-123.101733,49.366284
-123.099815,49.368777
-123.081387,49.312
-123.084338,49.313269
-123.085772,49.315326
-123.088085,49.318364
-123.093249,49.320805
-123.095263,49.32151
-123.097422,49.322272
-123.0996,49.323076
-123.101014,49.323925
-123.100519,49.326757
-123.101385,49.328368
-123.10276,49.329874
-123.105226,49.329944
-123.107885,49.329962
-123.113634,49.330029
-123.115725,49.334984
-123.115441,49.336685
-123.114327,49.339994
-123.11158,49.344119
-123.110999,49.345601
-123.1112,49.347433
-123.107652,49.351104
-123.107029,49.352871
-123.106088,49.356466
-123.082739,49.310903
-123.112617,49.329911
-123.113437,49.342653
-123.099142,49.37215
-122.88308,49.23303
-122.873271,49.236124
-122.867597,49.235583
-122.864252,49.234856
-122.860509,49.23406
-122.851624,49.23225
-123.072123,49.335312
-123.072482,49.321699
-123.037968,49.333879
-123.043346,49.334201
-123.044265,49.335534
-123.046388,49.335555
-123.051387,49.335594
-123.055215,49.335634
-123.059425,49.335671
-123.065242,49.335691
-123.069292,49.335692
-123.072162,49.333811
-123.072264,49.329781
-123.072286,49.327967
-123.072367,49.32594
-123.07242,49.32386
-123.072528,49.319603
-123.073701,49.316896
-123.075818,49.314819
-123.077513,49.313148
-123.07911,49.311599
-122.798595,49.275642
-122.798185,49.262253
-122.8046,49.247693
-122.803404,49.249444
-122.803542,49.249409
-122.805258,49.246646
-122.808578,49.244403
-122.813687,49.241103
-122.853816,49.233023
-122.863041,49.234932
-123.246353,49.267094
-123.125926,49.195521
-123.243631,49.263836
-123.240994,49.260754
-123.238457,49.255191
-123.185622,49.234699
-123.172505,49.234677
-123.15582,49.234512
-123.140768,49.234268
-123.134696,49.203574
-123.13058,49.20687
