TypeOfWork,IssueYear,geo_point_2d,PostalCode
Addition / Alteration,2020,"49.2759705, -123.1216429",V6B 5P6
Addition / Alteration,2019,"49.2430893, -123.0245639",V5R 4N4
Demolition / Deconstruction,2020,"49.2585377, -123.1767346",V6K 3A9
Addition / Alteration,2019,"49.2407229, -123.136475",V6M 4H2
Addition / Alteration,2019,"49.2657191, -123.1030863",V5T 1J3
Addition / Alteration,2019,"49.2362357, -123.0426331",V5R 5J4
Addition / Alteration,2019,"49.2762591, -123.1172689",V6B 5X5
New Building,2020,,V5S 2L3
Salvage and Abatement,2019,"49.2560665, -123.1116145",V5Y 1Z9
Addition / Alteration,2019,"49.2682313, -123.0528215",V5M 1C6
New Building,2020,"49.2264515, -123.1462088",V6P 5G7
New Building,2020,"49.2642611, -123.076743",V5N 1R6
Addition / Alteration,2019,"49.2693606, -123.1083854",V5Y 1B8
Addition / Alteration,2019,"49.2786179, -123.1297639",N/A
Salvage and Abatement,2020,"49.2156709, -123.1438933",V6P 2C3
Addition / Alteration,2019,"49.2846321, -123.1134223",V6B 1P2
New Building,2020,"49.2288683, -123.1232591",V5Z 2R2
New Building,2020,"49.2390545, -123.0959766",V5W 1B1
Addition / Alteration,2019,"49.2830489, -123.1352149",V1V 1V1
Demolition / Deconstruction,2019,"49.2448643, -123.1459143",V6J 4J4
Addition / Alteration,2019,"49.2756771, -123.101255",V6A 4K7
Demolition / Deconstruction,2020,"49.2688762, -123.059623",V5N 1G1
Addition / Alteration,2019,"49.2578703, -123.045169",V5M 2C9
Salvage and Abatement,2019,"49.2469591, -123.1848407",V6S 2G5
Salvage and Abatement,2019,"49.2466983, -123.1848565",N/A
Addition / Alteration,2019,"49.2870414, -123.1156089",V6C 1C6
Addition / Alteration,2019,"49.2843661, -123.1159402",V6C 1X8
New Building,2020,"49.2131255, -123.1025245",V5X 2J6
Salvage and Abatement,2019,"49.2131255, -123.1025245",V5X 2J6
Addition / Alteration,2019,"49.2679563, -123.1577515",V6K 1P1
Addition / Alteration,2019,"49.2561618, -123.1847356",V6S 2C2
Addition / Alteration,2019,"49.2702021, -123.1832927",V6R 3M2
New Building,2020,"49.2618188, -123.1792411",V6R 2M8
Demolition / Deconstruction,2019,"49.2618188, -123.1792411",V6R 2M8
Addition / Alteration,2019,"49.2720189, -123.2046712",V6R 1K4
Addition / Alteration,2020,"49.2809952, -123.1178815",V6B 3K9
Addition / Alteration,2019,"49.2797125, -123.1295737",V6E 1M5
Addition / Alteration,2020,"49.2616961, -123.0447467",V5M 3K3
Demolition / Deconstruction,2019,"49.2778079, -123.0930689",V6A 2B7
Addition / Alteration,2020,"49.2586735, -123.1857233",V6R 2Z5
Addition / Alteration,2019,"49.2816912, -123.1304819",V6E 1L3
Addition / Alteration,2019,"49.2645059, -123.1783221",V6R 2B1
New Building,2020,"49.270315, -123.1478352",V6J 0H9
New Building,2019,"49.210808, -123.0552357",V5S 2P2
Temporary Building / Structure,2019,"49.2759373, -123.1431089",N/A
Addition / Alteration,2019,"49.2649398, -123.1052644",V5Y 1L4
New Building,2019,"49.2561988, -123.0664794",V5N 2G6
Addition / Alteration,2019,"49.2392404, -123.1810663",V6N 2R9
Addition / Alteration,2019,"49.2830064, -123.0644859",N/A
Salvage and Abatement,2019,"49.2683814, -123.0629518",V5N 1E7
New Building,2020,"49.236528, -123.0978235",V5W 1H5
New Building,2020,"49.2362888, -123.0977469",V5W 1H5
Addition / Alteration,2019,"49.2833965, -123.117746",V7Y 1K8
New Building,2020,"49.2468126, -123.1750996",V6L 1X5
New Building,2020,"49.2463928, -123.1745484",V6L 1Y5
Addition / Alteration,2019,"49.2378346, -123.1594174",V6M 3Z8
Addition / Alteration,2019,"49.2802761, -123.1368911",V6E 1T6
Addition / Alteration,2019,"49.2876113, -123.1197519",V6E 2M6
New Building,2019,"49.2379233, -123.1366064",V6M 1M2
New Building,2020,"49.2516017, -123.1194737",V5Z 1Z5
Addition / Alteration,2019,"49.2625746, -123.2041276",V6R 2M1
New Building,2019,"49.223463, -123.0591313",V5P 4L2
New Building,2020,"49.2497443, -123.0527046",V5R 1A3
Addition / Alteration,2019,"49.2877017, -123.1186181",V6E 2E9
Addition / Alteration,2019,"49.284808, -123.1156241",V6C 2T7
New Building,2020,"49.2267148, -123.0318457",V5S 1C8
New Building,2019,"49.2421463, -123.0352957",V5R 4Y2
New Building,2019,"49.2233325, -123.0599678",V5P 1W4
Addition / Alteration,2019,"49.2476173, -123.0728494",V5N 2V9
Addition / Alteration,2020,"49.2806214, -123.0982111",V6A 1T8
Addition / Alteration,2019,"49.2764958, -123.1227646",V6B 3E6
Addition / Alteration,2019,"49.213031, -123.1215229",V6P 2G9
Addition / Alteration,2020,"49.2666321, -123.0708389",V5N 1J8
New Building,2019,"49.2111266, -123.0556905",V5S 2P3
New Building,2019,"49.2382451, -123.150566",V6M 1N5
Addition / Alteration,2019,"49.2747702, -123.1327239",V6Z 2P8
Salvage and Abatement,2019,"49.2747326, -123.1493253",V6J 1B8
Addition / Alteration,2019,"49.279141, -123.1211191",N/A
Salvage and Abatement,2019,"49.2439255, -123.1653062",V6L 1Z8
Demolition / Deconstruction,2020,"49.2224444, -123.0617535",V5P 1X2
Addition / Alteration,2019,"49.2759911, -123.1461479",V6J 3J9
Addition / Alteration,2019,"49.28361, -123.12914",V6E 1J3
Addition / Alteration,2019,"49.2628035, -123.0992682",V5T 1W3
Temporary Building / Structure,2019,"49.2847997, -123.0387934",V5K 5J1
Demolition / Deconstruction,2019,"49.2362906, -123.0863464",V5W 1G2
Addition / Alteration,2019,"49.2634969, -123.1031839",V5T 4L6
Addition / Alteration,2019,"49.2781834, -123.0993256",V6A 0B1
Addition / Alteration,2019,"49.2790438, -123.1169858",V6B 6M3
Addition / Alteration,2019,"49.2790438, -123.1169858",V6B 6M3
Addition / Alteration,2019,"49.283007, -123.0638208",N/A
Addition / Alteration,2020,"49.2113716, -123.0795937",V5X 4L1
Addition / Alteration,2019,"49.2504521, -123.0957441",V5V 1X7
New Building,2020,"49.2701671, -123.0412665",V5K 3K4
Salvage and Abatement,2019,"49.2404775, -123.0389848",V5R 3Y9
New Building,2020,"49.2406484, -123.1643393",V6N 2L9
Salvage and Abatement,2019,"49.2406484, -123.1643393",V6N 2L9
Addition / Alteration,2019,"49.2736934, -123.1166451",V6Z 3A1
Addition / Alteration,2019,"49.2857132, -123.1181517",V6C 2B5
Addition / Alteration,2019,"49.2818085, -123.123087",N/A
Addition / Alteration,2019,"49.2537639, -123.1547889",V6L 1J2
New Building,2020,"49.2414419, -123.0793083",V5V 4X8
Salvage and Abatement,2019,"49.2522081, -123.0641129",V5N 4R9
Addition / Alteration,2020,"49.262161, -123.1381877",V6H 3V3
Addition / Alteration,2019,"49.2534535, -123.0891282",V5V 1K3
Addition / Alteration,2019,"49.2254899, -123.0723776",V5P 1S8
Addition / Alteration,2019,"49.2348398, -123.1242482",V5Z 3S3
Addition / Alteration,2019,"49.2851696, -123.1156028",N/A
Addition / Alteration,2019,"49.2832942, -123.1213394",V6Z 1S4
Addition / Alteration,2019,"49.2846042, -123.1174373",V6C 2T5
Addition / Alteration,2019,"49.263684, -123.1256748",V5Z 1K3
Addition / Alteration,2019,"49.2239674, -123.0276013",V5S 1M1
Addition / Alteration,2019,"49.2641559, -123.1007749",N/A
Addition / Alteration,2019,"49.2572074, -123.1392212",V6H 3K2
Salvage and Abatement,2019,"49.2155063, -123.0689721",V5P 3T3
Addition / Alteration,2019,"49.2665078, -123.187034",V6R 4N8
Addition / Alteration,2019,"49.2627109, -123.0541888",V5M 1W2
Demolition / Deconstruction,2019,"49.2602523, -123.1710121",V6K 2T9
Salvage and Abatement,2019,"49.2602523, -123.1710121",V6K 2T9
Salvage and Abatement,2019,"49.2319662, -123.1191819",V5Z 2M9
New Building,2020,"49.2719369, -123.1838468",V6R 1A9
Addition / Alteration,2019,"49.2661542, -123.1526001",V6J 3Y1
Addition / Alteration,2019,"49.2194169, -123.1422424",N/A
Addition / Alteration,2019,"49.2905353, -123.1355427",V6G 1H2
Demolition / Deconstruction,2019,"49.2485037, -123.0324297",V5R 1G4
Addition / Alteration,2019,"49.2595803, -123.1642811",V6K 2W6
Addition / Alteration,2019,"49.2076637, -123.0397731",V1V 1V1
Addition / Alteration,2019,"49.2049712, -123.1260013",N/A
Addition / Alteration,2019,"49.2818014, -123.1180513",V6B 4N9
Salvage and Abatement,2019,"49.2530653, -123.14199",V6J 2T1
New Building,2020,"49.2793747, -123.0344397",V5K 2H4
Demolition / Deconstruction,2020,"49.2579981, -123.068678",V5N 2E3
Salvage and Abatement,2019,"49.2579981, -123.068678",V5N 2E3
Addition / Alteration,2019,"49.2810386, -123.1050291",V6B 6E3
Addition / Alteration,2019,"49.2206846, -123.0589962",V5S 1X1
Addition / Alteration,2019,"49.2859596, -123.1138894",V6C 1A1
Addition / Alteration,2019,"49.2347291, -123.1609626",V6M 2A3
Addition / Alteration,2021,"49.2809379, -123.1158925",V6B 1Z3
Demolition / Deconstruction,2020,"49.2311376, -123.0548332",V5R 3K5
Addition / Alteration,2019,"49.263107, -123.1392146",V6J 1W8
Addition / Alteration,2019,"49.2747702, -123.1327239",V6Z 2R1
Addition / Alteration,2019,"49.2076015, -123.0342334",V5S 4S3
Addition / Alteration,2019,"49.2608129, -123.0345547",V5M 3T5
Addition / Alteration,2019,"49.2076015, -123.0342334",V5S 4S4
Salvage and Abatement,2019,"49.2269921, -123.0537783",V5S 1E6
Addition / Alteration,2021,"49.2592449, -123.0434558",V5M 4Y2
Addition / Alteration,2019,"49.2112018, -123.1346861",V6P 4M2
New Building,2020,"49.2269921, -123.0537783",V5S 1E6
Addition / Alteration,2019,"49.2569459, -123.1314116",V6H 1V9
New Building,2019,"49.2229525, -123.0529777",V5S 2R7
New Building,2019,"49.2229007, -123.0525316",V5S 2R6
New Building,2019,"49.213474, -123.0800699",V5X 4H5
Addition / Alteration,2019,"49.2806136, -123.1289132",V6Z 1Y6
Addition / Alteration,2020,"49.2606167, -123.1465387",V6J 2E8
Salvage and Abatement,2019,"49.2379291, -123.0849803",V5W 3H7
New Building,2020,"49.2282198, -123.1024062",V5W 1Z4
Addition / Alteration,2019,"49.2778929, -123.0979009",V6A 4C3
Addition / Alteration,2019,"49.2855107, -123.1112509",V6B 1G1
Salvage and Abatement,2019,"49.2440163, -123.0619945",V5N 2T4
Addition / Alteration,2019,"49.2319662, -123.1191819",V5Z 2M9
Salvage and Abatement,2019,"49.2520287, -123.0634787",V5N 2L2
Addition / Alteration,2019,"49.276158, -123.0796642",A0A 0A0
Addition / Alteration,2019,"49.2770767, -123.0936644",N/A
Addition / Alteration,2019,"49.2686577, -123.1700461",V6K 4T3
Addition / Alteration,2021,"49.2226194, -123.0261177",N/A
Addition / Alteration,2021,"49.2228485, -123.0255727",V5S 1N1
Addition / Alteration,2021,"49.2226195, -123.0244093",N/A
Addition / Alteration,2021,"49.2228653, -123.0242868",N/A
Addition / Alteration,2019,"49.2831669, -123.1209088",V6Z 2H7
New Building,2019,"49.2414856, -123.1520127",V6M 1E2
Demolition / Deconstruction,2019,"49.2414856, -123.1520127",V6M 1E2
Addition / Alteration,2019,"49.2637921, -123.1321111",V6H 1G7
Demolition / Deconstruction,2019,"49.2607411, -123.07084",V5N 1Y8
New Building,2019,"49.2503341, -123.054531",V5R 6A6
New Building,2020,"49.2433161, -123.1595808",V6L 2H9
New Building,2020,,V5V 4K6
Salvage and Abatement,2019,"49.2851645, -123.0946556",V6A 1A7
Addition / Alteration,2019,"49.2059768, -123.032467",V5S 0E3
Addition / Alteration,2019,"49.2673026, -123.0366679",V5M 3R3
New Building,2019,"49.2351954, -123.0810447",V5M 3M5
New Building,2020,"49.2149217, -123.0829524",V5X 4B9
Temporary Building / Structure,2019,"49.2956269, -123.1407407",N/A
Addition / Alteration,2019,"49.2170363, -123.121486",V1V 1V1
Addition / Alteration,2019,"49.2865933, -123.1227839",V6E 4A6
Addition / Alteration,2019,"49.2861658, -123.1256693",V6E 3Z3
Addition / Alteration,2019,"49.2630842, -123.0785227",V5T 1V2
New Building,2020,"49.2669125, -123.0395231",V5M 1L3
Addition / Alteration,2019,"49.2865933, -123.1227839",V6E 4A6
Addition / Alteration,2019,"49.2857132, -123.1181517",V6C 2B5
Addition / Alteration,2019,"49.2857132, -123.1181517",V6C 2B5
New Building,2020,"49.2177239, -123.1377658",V6P 1W2
Addition / Alteration,2020,"49.2826745, -123.1230958",V6Z 2G7
New Building,2020,"49.2529378, -123.0309956",V5M 3B5
Demolition / Deconstruction,2020,"49.2175257, -123.0953192",V5X 1W1
Demolition / Deconstruction,2020,"49.2474303, -123.1949742",V6S 1S7
Demolition / Deconstruction,2020,"49.2406617, -123.1648465",V6N 2L9
Demolition / Deconstruction,2019,"49.2818241, -123.0561356",V5K 1X4
New Building,2020,"49.2153764, -123.1514867",V6P 2G5
New Building,2020,"49.2387046, -123.0449611",V5R 4S1
Demolition / Deconstruction,2019,"49.2387046, -123.0449611",V5R 4S1
Salvage and Abatement,2019,"49.2450036, -123.1965627",V6S 1X5
Addition / Alteration,2019,"49.276429, -123.1014142",V6A 0A1
Addition / Alteration,2019,"49.2866355, -123.1132288",V6C 3R8
Demolition / Deconstruction,2020,"49.2393188, -123.0453476",V5R 3T4
Addition / Alteration,2019,"49.2764958, -123.1227646",V6B 3E6
Addition / Alteration,2020,"49.2635094, -123.0672993",V5N 1T7
Addition / Alteration,2019,"49.254545, -123.0447901",V5M 3L2
Demolition / Deconstruction,2020,"49.2300949, -123.055572",V5R 3K4
Addition / Alteration,2020,"49.2420564, -123.0586768",V5N 5M9
Addition / Alteration,2019,"49.2544325, -123.0851218",V5V 3C4
New Building,2020,"49.2493156, -123.1134767",V5Y 2J3
Addition / Alteration,2021,"49.2810386, -123.1050291",V6B 6E3
Addition / Alteration,2019,"49.2870389, -123.1270034",V6E 1A6
Addition / Alteration,2019,"49.2822452, -123.1194942",V7Y 1K8
New Building,2020,"49.234758, -123.0866348",V5W 1K7
Salvage and Abatement,2019,"49.2350026, -123.0866881",V5W 1K7
Addition / Alteration,2019,"49.2788862, -123.0640181",V5L 2A1
New Building,2020,"49.23547, -123.1026538",V5W 1J9
Demolition / Deconstruction,2020,"49.2669077, -123.0373801",V5M 1L6
Salvage and Abatement,2019,"49.2669077, -123.0373801",V5M 1L6
New Building,2019,"49.2503299, -123.1656566",V6L 1S1
Addition / Alteration,2019,"49.2820433, -123.1274329",N/A
Addition / Alteration,2019,"49.2654063, -123.1573719",V6K 3K5
Temporary Building / Structure,2019,"49.2066752, -123.1162775",V6P 6M9
Addition / Alteration,2020,"49.2703442, -123.1414199",V6J 1G1
Addition / Alteration,2020,"49.2577346, -123.0878843",V5T 2N4
Addition / Alteration,2019,"49.263776, -123.1389672",V6J 4Z6
Addition / Alteration,2020,"49.219495, -123.1291512",V6P 1S6
Addition / Alteration,2023,"49.2488845, -123.081051",V5V 2B2
Addition / Alteration,2023,"49.2779756, -123.1235385",V6B 3M3
New Building,2023,"49.271932, -123.2114089",N/A
Salvage and Abatement,2023,"49.2494931, -123.1006109",V5V 3P2
Salvage and Abatement,2023,"49.2594139, -123.2003347",V6R 3X8
Salvage and Abatement,2023,"49.2594732, -123.1787518",V6R 2V8
Addition / Alteration,2023,"49.260502, -123.1394851",V6J 2E1
New Building,2023,"49.2481256, -123.0301466",V5R 1J9
New Building,2023,"49.2436155, -123.0368071",V5R 3Y5
Salvage and Abatement,2023,"49.2262443, -123.1475668",V6P 5H9
New Building,2023,"49.2463926, -123.1170093",V5Z 2H2
Addition / Alteration,2024,"49.2814411, -123.0582765",V5L 1V3
Addition / Alteration,2023,"49.2754455, -123.13407",V6E 1T7
New Building,2023,"49.2458735, -123.0462212",V5R 2C1
New Building,2023,"49.2361095, -123.1043713",N/A
New Building,2023,"49.2454931, -123.0896378",V5V 4G5
New Building,2023,"49.2350884, -123.1059315",V5W 2L1
Addition / Alteration,2023,"49.2593439, -123.1491582",V6J 2K1
Addition / Alteration,2023,"49.2600419, -123.1391151",V6H 3J4
Salvage and Abatement,2023,"49.2126039, -123.1254329",V6P 2L4
Salvage and Abatement,2023,"49.2121516, -123.0635437",V5P 2M2
Addition / Alteration,2023,"49.2430855, -123.1920786",V6S 1Z3
Salvage and Abatement,2023,"49.2415503, -123.1609613",V6M 1G8
Salvage and Abatement,2023,"49.2436273, -123.0408437",V5R 3T1
Demolition / Deconstruction,2023,"49.2395344, -123.0611523",V5N 3G1
Salvage and Abatement,2023,"49.2395344, -123.0611523",V5N 3G1
Addition / Alteration,2023,"49.2501056, -123.0333574",V5M 2Z3
Addition / Alteration,2023,"49.2873713, -123.1188596",V6E 4M1
Addition / Alteration,2023,"49.2534841, -123.1777425",V6L 1L2
Addition / Alteration,2023,"49.2496521, -123.106534",V5Y 2G7
Addition / Alteration,2023,"49.2690958, -123.1418953",V6J 0B6
Demolition / Deconstruction,2023,"49.252651, -123.1135714",V5Y 2C8
Addition / Alteration,2023,"49.2519513, -123.1258247",V5Z 2A2
Salvage and Abatement,2023,"49.2459394, -123.0957518",V5V 2N2
Addition / Alteration,2023,"49.2359374, -123.0892793",V5W 1H9
New Building,2023,"49.2379563, -123.1829428",N/A
Addition / Alteration,2023,"49.2708888, -123.1007184",V6A 2W5
Addition / Alteration,2023,"49.2257499, -123.0658232",N/A
Temporary Building / Structure,2023,"49.2718699, -123.1909543",V6R 1B3
New Building,2023,"49.259997, -123.19382",V6R 3W3
Addition / Alteration,2023,"49.2582606, -123.1087856",V5Y 1W9
New Building,2023,"49.2746241, -123.0451459",V5K 4A1
Demolition / Deconstruction,2023,"49.2261513, -123.1095771",V5Y 2Z7
Addition / Alteration,2023,"49.2802901, -123.1093636",V6B 2L3
Addition / Alteration,2023,"49.2637716, -123.1309996",V6H 3X5
Addition / Alteration,2024,"49.2833965, -123.117746",V7Y 1K8
Addition / Alteration,2023,"49.2691628, -123.1471533",V6J 1K9
Addition / Alteration,2023,"49.2797085, -123.1155703",V6B 6B4
Demolition / Deconstruction,2023,"49.2269845, -123.0726815",V5P 3H1
Salvage and Abatement,2023,"49.2269845, -123.0726815",V5P 3H1
New Building,2023,"49.2109143, -123.1238908",V6P 2R5
New Building,2023,"49.2368814, -123.1238215",N/A
Addition / Alteration,2023,"49.2849462, -123.0962499",N/A
New Building,2023,"49.2432481, -123.066204",V5N 4J2
Addition / Alteration,2023,"49.2833965, -123.117746",V7Y 1K8
Addition / Alteration,2023,"49.2818014, -123.1180513",V6B 4N9
Addition / Alteration,2023,"49.2691761, -123.2046084",N/A
Addition / Alteration,2024,"49.2606115, -123.1234469",N/A
Addition / Alteration,2023,"49.2873713, -123.1188596",V6E 4M1
Addition / Alteration,2023,"49.2799717, -123.1104066",N/A
Addition / Alteration,2023,"49.2810275, -123.114459",V6B 0S5
Addition / Alteration,2023,"49.2832942, -123.1213394",V6Z 1S4
Demolition / Deconstruction,2023,"49.24396, -123.0874853",V5V 4K2
New Building,2024,"49.2715411, -123.2060465",V6R 4J8
Demolition / Deconstruction,2023,"49.2517237, -123.1889739",V6S 1K9
Addition / Alteration,2023,"49.2680756, -123.1539219",V6K 1N6
Salvage and Abatement,2023,"49.2503674, -123.1323091",V6H 1Y6
Salvage and Abatement,2023,"49.2458735, -123.0462212",V5R 2C1
Addition / Alteration,2023,"49.2719592, -123.141183",V6J 4Y2
Addition / Alteration,2023,"49.2490433, -123.0749432",V5N 5Z1
Addition / Alteration,2023,"49.2584819, -123.0822054",V5T 2L8
Addition / Alteration,2023,"49.2476525, -123.0706593",V1V 1V1
Demolition / Deconstruction,2023,"49.2179974, -123.1351589",V6P 1W2
New Building,2023,"49.2391505, -123.0785188",V5W 1A4
Addition / Alteration,2023,"49.2601274, -123.0585427",V5N 1Z6
Salvage and Abatement,2023,"49.2521062, -123.1746538",V6L 2X1
Salvage and Abatement,2023,"49.2664164, -123.0543107",N/A
Addition / Alteration,2023,"49.2524231, -123.0429611",V5M 2Y3
Addition / Alteration,2023,"49.2735581, -123.2181707",N/A
Demolition / Deconstruction,2023,"49.2634411, -123.1669025",V6K 2K1
New Building,2023,"49.2886716, -123.0539276",N/A
Addition / Alteration,2023,"49.2075788, -123.0686354",V5P 2S7
Salvage and Abatement,2023,"49.2391505, -123.0785188",V5W 1A4
Demolition / Deconstruction,2024,"49.2660271, -123.05325",V5M 1M8
Addition / Alteration,2023,"49.2857716, -123.1315076",V6E 2B8
Salvage and Abatement,2023,"49.2472662, -123.0861654",V5V 4M2
Addition / Alteration,2023,"49.2857773, -123.1222436",V6E 3C9
Addition / Alteration,2023,"49.2877017, -123.1186181",V6E 2E9
Salvage and Abatement,2023,"49.2461023, -123.0694706",V5N 3Z4
Addition / Alteration,2023,"49.2809157, -123.0694282",V5L 1S9
Addition / Alteration,2023,"49.2736233, -123.0692294",V5L 3X4
Addition / Alteration,2023,"49.2865408, -123.1123825",V6C 1S4
Demolition / Deconstruction,2023,"49.2152658, -123.1439045",V6P 2G1
Demolition / Deconstruction,2023,"49.2487599, -123.1889612",V6S 1P4
New Building,2023,"49.2635831, -123.175411",V6K 2L1
Addition / Alteration,2023,"49.2460558, -123.0608079",V5N 4Z4
Addition / Alteration,2023,"49.2811779, -123.1169631",V6B 0M3
Addition / Alteration,2023,"49.2815546, -123.1209527",V6Z 1A1
New Building,2023,"49.2509126, -123.0453648",V5M 2Y1
Demolition / Deconstruction,2023,"49.2350827, -123.1812089",V6N 3E5
