YEAR,TYPE,POSTAL_CODE,Cordinates
2015,Educational,V5Y 2Z6,"49.225191, -123.108305"
2015,Museum/Gallery,V6J 1H2,"49.2696829, -123.1406592"
2015,Museum/Gallery,V5V 2G8,"49.2480158, -123.1014023"
2015,Museum/Gallery,"er, BC,","49.267681, -123.259146"
2015,Community Space,"ver, BC","49.302981, -123.131707"
2015,Community Space,V5N 4M4,"49.2549423, -123.0660729"
2015,Museum/Gallery,V6H 3S3,"49.271369, -123.135784"
2015,Museum/Gallery,V6H 3G5,"49.264079, -123.1386272"
2015,Studio/Rehearsal,V6A 3P2,"49.276097, -123.07867"
2015,Studio/Rehearsal,V6P 4B7,"49.203966, -123.1300261"
2015,Studio/Rehearsal,"er, BC,","49.2703062, -123.0770081"
2015,Museum/Gallery,V5T 1E1,"49.26761, -123.0921743"
2015,Community Space,V6N 4C6,"49.2236866, -123.1989191"
2015,Educational,V6B 1G4,"49.282071, -123.1060688"
2015,Museum/Gallery,V5V 1M1,"49.252773, -123.10056"
2015,Community Space,"ver, BC","49.282643, -123.094341"
2015,Café/Restaurant/Bar,V5T 1W4,"49.2631703, -123.1001783"
2015,Theatre/Performance,V6Z 2L7,"49.278552, -123.12627"
2015,Studio/Rehearsal,V5L 1S1,"49.2825401, -123.0581806"
2015,Studio/Rehearsal,V6A 1Y7,"49.2792244, -123.0872408"
2015,Studio/Rehearsal,V6A 2H2,"49.2753465, -123.0803477"
2015,Theatre/Performance,V6H 3R8,"49.269212, -123.132002"
2015,Museum/Gallery,V6H 4G9,"49.2701374, -123.1337947"
2015,Studio/Rehearsal,V6A 2Z9,"49.2781751, -123.0970675"
2015,Community Space,V6B 5E7,"49.276031, -123.110068"
2015,Community Space,V5K 5J1,"49.28416, -123.037295"
2015,Community Space,V5K 5J1,"49.282263, -123.042992"
2015,Studio/Rehearsal,V5L 3L1,"49.2833711, -123.0740061"
2015,Studio/Rehearsal,V6A 3P2,"49.2761045, -123.0786643"
2015,Theatre/Performance,V6B 5N6,"49.28046, -123.113401"
2015,Studio/Rehearsal,V6A 1A4,"49.2846363, -123.097645"
2015,Café/Restaurant/Bar,V6B 1Y4,"49.2828775, -123.1151754"
2015,Museum/Gallery,V6A 4J1,"49.281336, -123.1019396"
2015,Community Space,V6B 6G1,"49.277049, -123.109143"
2015,Community Space,V6Z 2W3,"49.273308, -123.121747"
2015,Theatre/Performance,V6T 1Z2,"49.267411, -123.256613"
2015,Community Space,6M  2J2,"49.2309378, -123.1585257"
2015,Studio/Rehearsal,V6B 2G6,"49.277084, -123.125738"
2015,Studio/Rehearsal,V6B 2G6,"49.277074, -123.125727"
2015,Community Space,V6P 4N2,"49.204487, -123.134666"
2015,Studio/Rehearsal,V6G 3E2,"49.295416, -123.150402"
2015,Studio/Rehearsal,"er, BC,","49.2695868, -123.0965625"
2015,Community Space,V6A 2B2,"49.2778745, -123.0974061"
2015,Studio/Rehearsal,V6H 3R9,"49.2719547, -123.134239"
2015,Community Space,V6E 1H8,"49.2815242, -123.1266077"
2015,Museum/Gallery,"ver, BC","49.294408, -123.137914"
2015,Studio/Rehearsal,V6A 2K5,"49.2739359, -123.083385"
2015,Studio/Rehearsal,V6H 3R5,"49.271656, -123.134975"
2015,Café/Restaurant/Bar,V6B 1C8,"49.2826173, -123.1050522"
2015,Theatre/Performance,V6A 1C2,"49.284153, -123.099046"
2015,Studio/Rehearsal,V6J 1S1,"49.2655999, -123.140093"
2015,Café/Restaurant/Bar,V6C 1V4,"49.2849231, -123.1143101"
2015,Museum/Gallery,V6A 1B5,"49.2839469, -123.1010921"
2015,Community Space,V5N 4M4,"49.255325, -123.065438"
2015,Educational,V6J 4R9,"49.274884, -123.144548"
2015,Museum/Gallery,V6Z 2H7,"49.283158, -123.120932"
2015,Educational,V6H 3R9,"49.2718984, -123.1349366"
2015,Studio/Rehearsal,V5L 1K6,"49.2841727, -123.0652956"
2015,Museum/Gallery,V6B 6B1,"49.2804357, -123.1151119"
2015,Community Space,V6J 3J9,"49.276777, -123.146124"
2015,Café/Restaurant/Bar,V6Z 1K7,"49.2805411, -123.1211246"
2015,Educational,V6A 1E1,"49.2844372, -123.0915178"
2015,Theatre/Performance,V6H 3R7,"49.270119, -123.135508"
2015,Studio/Rehearsal,V6J 1R1,"49.2663536, -123.1400604"
2015,Community Space,V6G 2L8,"49.289912961681, -123.136073777706"
2015,Museum/Gallery,V5T 1S1,"49.263916, -123.098654"
2015,Museum/Gallery,V5L 1Y9,"49.2794145, -123.0757838"
2015,Theatre/Performance,V5L 2E2,"49.2772414, -123.0660915"
