Bikeway_Type,Year of Construction,Geom
Protected Bike Lanes,2014.0,"[-123.03620065773379, 49.28113004270257], [-123.03619088936524, 49.28127184032671], [-123.03490306842554, 49.281267476249376]"
Protected Bike Lanes,1993.0,"[-123.02874046743287, 49.28800761424771], [-123.02850045032639, 49.287942912098984], [-123.02844672575016, 49.287941737075606], [-123.02844587590404, 49.287941718394976], [-123.02830938347789, 49.2879387322369]"
Protected Bike Lanes,2005.0,"[-123.11398201177435, 49.277580771000764], [-123.11445674651866, 49.277267167655964]"
Protected Bike Lanes,2005.0,"[-123.10948340930592, 49.28055735669987], [-123.11055085381177, 49.27985058753457]"
Protected Bike Lanes,2006.0,"[-123.11786601656868, 49.2800944668204], [-123.11945789745212, 49.279040539754014]"
Painted Lanes,2009.0,"[-123.04151045413575, 49.21552066967016], [-123.04159032835459, 49.21381287611171], [-123.04159031458755, 49.21381283293932]"
Protected Bike Lanes,2017.0,"[-123.14931928313008, 49.21794227753416], [-123.14917723630704, 49.21770523934619], [-123.14897688834772, 49.217370457902796], [-123.14865335345256, 49.21682055062498], [-123.14841882049481, 49.216420460529925], [-123.14831746868323, 49.21622839031706], [-123.14820469429208, 49.21601467042669], [-123.14820282109547, 49.216010919098615]"
Painted Lanes,2009.0,"[-123.04138565517209, 49.218169256896594], [-123.04140566686591, 49.21775010496847]"
Painted Lanes,1997.0,"[-123.16841032440765, 49.225779259837466], [-123.17034107988486, 49.226809322222785]"
Protected Bike Lanes,2010.0,"[-123.1191057431153, 49.205455261642925], [-123.1187060903439, 49.205517311540014], [-123.11830481246886, 49.20557474982891], [-123.11830476306342, 49.205574757075745], [-123.11790204415719, 49.205627585350705], [-123.11743434288469, 49.205682683054164]"
Protected Bike Lanes,1990.0,"[-123.11517511083343, 49.270815054966924], [-123.11510146285033, 49.27088222531448], [-123.11508852847686, 49.270892203974995], [-123.11501976600361, 49.27094525954051], [-123.11501973443865, 49.27094528205991], [-123.11493047860175, 49.271003804560564], [-123.11483910738829, 49.271050676718836], [-123.11481942081252, 49.27106077180101], [-123.11473177303097, 49.271105718800214], [-123.11466335523293, 49.271132810979175], [-123.11462365397372, 49.271148506506705], [-123.11427479161104, 49.27119631610283], [-123.11422077578919, 49.27120371318879], [-123.11406025217195, 49.27119703721192], [-123.11402571482934, 49.27117971597198], [-123.1138153038805, 49.27107419480672], [-123.11379730519143, 49.27106516966535], [-123.11378731769598, 49.27106016108221], [-123.11378727779757, 49.271060146729205], [-123.11365417398135, 49.27102899154456], [-123.1136349554089, 49.27102988028231], [-123.11362523203861, 49.271030330609065], [-123.11360758865602, 49.27103114133409], [-123.1135867357968, 49.271032115325994], [-123.11350302578998, 49.27105746958617], [-123.11347186512964, 49.27108399014052], [-123.11346853119603, 49.27108683049893], [-123.11345087227666, 49.27110185722081], [-123.11333781179367, 49.27117715450988], [-123.11304647965488, 49.2712238443175], [-123.1130464439628, 49.27122386594089], [-123.11288754585748, 49.2713174408834], [-123.1127640692692, 49.2713534513789], [-123.11249187610736, 49.27138905162068], [-123.11249182388198, 49.27138905706864], [-123.11234613295761, 49.271401876643836], [-123.11229591502524, 49.27140874021934], [-123.11220233252199, 49.27142153144649], [-123.11212855149702, 49.271435211898186], [-123.11206092641106, 49.27144775023959], [-123.1119224764586, 49.27147855174593], [-123.11186668269873, 49.27148906988578], [-123.1117819779314, 49.27150503827445], [-123.11170145916387, 49.27151741886912], [-123.11163954160298, 49.27152693985499], [-123.11152847181673, 49.27153505104009], [-123.11146588833907, 49.271537631884115], [-123.11141682495365, 49.27153964465458], [-123.11140314164, 49.27153976758949], [-123.11137739156075, 49.27153997861404], [-123.11130494987417, 49.27154057283952], [-123.11120238802962, 49.27155056990293], [-123.11120233855327, 49.27155057534767], [-123.11110119561141, 49.271565590273774], [-123.11104924240557, 49.27157609083301], [-123.1110019774496, 49.27158563337453], [-123.11100193761212, 49.27158564600608], [-123.11090542035708, 49.27161047547022], [-123.11081196958804, 49.27164006306875], [-123.11071068488711, 49.271664352732756], [-123.11060621146422, 49.27168216972049], [-123.1105358221308, 49.27168960504231], [-123.11049968327025, 49.27169342298699], [-123.11043091673115, 49.271696243058194], [-123.11039191219035, 49.27169784549322], [-123.11032254733723, 49.27170915573516], [-123.1103224951273, 49.271709168378294], [-123.1102557036628, 49.271726032454005], [-123.11019272226712, 49.27174821711254], [-123.11013440237348, 49.271775336554214], [-123.11010645924684, 49.27179209424494], [-123.11008165719431, 49.27180696534287], [-123.11003538057551, 49.27184262049255], [-123.11003533118277, 49.271842663716505], [-123.10999615159865, 49.27188183370958], [-123.10999612417288, 49.27188186431934], [-123.10996469864513, 49.27192389008954], [-123.10984584565368, 49.272046586033056], [-123.10974819191485, 49.27214352197389], [-123.1097237197952, 49.27216782054215], [-123.10972368960174, 49.2721678430588], [-123.10968110960808, 49.27219324992882], [-123.10963287879501, 49.27221397474993], [-123.10958031847179, 49.27222949364127], [-123.10953392257791, 49.272237696272114], [-123.10952458101582, 49.27223935034795], [-123.1094672249672, 49.272243368882144], [-123.10940963166584, 49.27224143369454], [-123.10933004081616, 49.27223782639919]"
Protected Bike Lanes,2014.0,"[-123.14637763807796, 49.27243973965425], [-123.14635496913824, 49.27297876937668]"
Painted Lanes,1997.0,"[-123.154664772405, 49.21539118387385], [-123.15699126405, 49.217699545058835]"
Protected Bike Lanes,1990.0,"[-123.13237703876733, 49.29351651837265], [-123.1325504568675, 49.29361669748041], [-123.1325504871794, 49.29361671813451], [-123.13262318455246, 49.29367075770504], [-123.13269001805537, 49.29372796396245], [-123.13278978681524, 49.29384484491004], [-123.1328875511388, 49.29393062461066], [-123.13288758971251, 49.29393064885321], [-123.13301530460532, 49.293997574325886], [-123.13352166368124, 49.294206794371576], [-123.13369984355126, 49.29429876625462], [-123.1338347840025, 49.29441813952763], [-123.13387171107998, 49.29447848665485], [-123.13389058568542, 49.2945093523648], [-123.13402866522247, 49.294652910651756], [-123.13424269909154, 49.29474871161795], [-123.13445389648402, 49.29480153302116], [-123.13457724374138, 49.294829621645576], [-123.1346686727779, 49.29484318867473], [-123.13476546370015, 49.29485755174679], [-123.1350460428333, 49.294875385421356], [-123.13504608272763, 49.29487538897278], [-123.13531434052074, 49.29489324359036], [-123.13548201352168, 49.29491409580381], [-123.13548206168777, 49.29491410654153], [-123.13563818699674, 49.29495932375903], [-123.13580856127898, 49.295074202315476], [-123.1358086150158, 49.29507423823295], [-123.13586437852962, 49.295230030889776]"
Protected Bike Lanes,1990.0,"[-123.13361916239536, 49.2748076917031], [-123.13264902464722, 49.27417917676533], [-123.13202958105047, 49.27377979452762], [-123.13168866398588, 49.273559964195336]"
Protected Bike Lanes,1990.0,"[-123.12474266067973, 49.27208992087655], [-123.12463001153799, 49.27209993535083], [-123.12431792002238, 49.27209037864327], [-123.12402099234868, 49.27211623868402], [-123.12367441643822, 49.272187477892615], [-123.12353134360409, 49.27218052653804], [-123.12335126553084, 49.272106973626755], [-123.12159723090632, 49.27096577571894], [-123.12154071899317, 49.270940294219756], [-123.12148877213174, 49.270927578371754], [-123.12120041411583, 49.270932108045116], [-123.12115497010517, 49.27093647249858], [-123.12110086747761, 49.27096908552511], [-123.12049732279075, 49.27137095707186]"
Protected Bike Lanes,1990.0,"[-123.20565609730023, 49.27494280245046], [-123.20581733374603, 49.27494967463786], [-123.20634516076841, 49.274875885663306], [-123.20639555418312, 49.27492719510113], [-123.20639561348204, 49.27492723907166], [-123.2065715163674, 49.274921004095425], [-123.20660937077328, 49.27491966539346], [-123.20660941066409, 49.27491967071923], [-123.20677086279092, 49.27490938825376], [-123.20701321739243, 49.27492892184149], [-123.20723874287884, 49.27497160005741], [-123.20723878139871, 49.27497160628494], [-123.20790639954437, 49.274925666657445], [-123.20844951430395, 49.27488829178777], [-123.20844956931353, 49.27488829618613], [-123.20869962387428, 49.27489397054007]"
Protected Bike Lanes,1990.0,"[-123.20259297679067, 49.27544811802091], [-123.2027893575028, 49.2753461494355], [-123.20295599529149, 49.27530617366485], [-123.2030873218127, 49.2752746684294], [-123.20340371991185, 49.27527410469632], [-123.20340621629914, 49.2752737153075], [-123.20552694990376, 49.27493732928698], [-123.2055269842169, 49.27493731573316], [-123.20565355763645, 49.274942694530715], [-123.20565360851408, 49.27494269713871], [-123.20565609730023, 49.27494280245046]"
Painted Lanes,2006.0,"[-123.2074219843842, 49.26898780591861], [-123.20770224414974, 49.268991971871664], [-123.20801564996727, 49.26899711012562]"
Protected Bike Lanes,2009.0,"[-123.10638079666822, 49.277095778311086], [-123.10640368340901, 49.276570344866784]"
Painted Lanes,2006.0,"[-123.21502422046723, 49.26910383515301], [-123.21639891931811, 49.26912530117968], [-123.21651760158137, 49.26912669887802], [-123.21651766206794, 49.269126699664184], [-123.21680561555216, 49.26912767989818], [-123.21709351465756, 49.26912534928143], [-123.21738128811954, 49.2691197700153], [-123.21766892729354, 49.26911086475823], [-123.21767185735736, 49.26911072431027], [-123.2182364038405, 49.2690835804889], [-123.21824325759393, 49.26908325091226], [-123.21844786070287, 49.26906982931782], [-123.21852983274312, 49.269064452595295], [-123.21861623236015, 49.2690578225011], [-123.21881582741631, 49.2690425072445], [-123.21910112804575, 49.26901723517541], [-123.21923690965289, 49.26900359095399], [-123.21937515907116, 49.26898973949536], [-123.21937598483163, 49.26898965337261], [-123.21962878933218, 49.26896227924674]"
Painted Lanes,2010.0,"[-123.1851392317969, 49.25467519921415], [-123.18513478553898, 49.25512734498793]"
Painted Lanes,2010.0,"[-123.18516180173117, 49.25241344111172], [-123.18515728163739, 49.25286559168026]"
Painted Lanes,1997.0,"[-123.19840070791359, 49.23534043955748], [-123.19898343938777, 49.23549856517021], [-123.1993960862318, 49.235608632038506]"
Protected Bike Lanes,1990.0,"[-123.2136613357911, 49.275958204351625], [-123.2138460748219, 49.275970154532516], [-123.21399780367385, 49.2759799320519], [-123.21432738993342, 49.27598238944018], [-123.21433598138074, 49.275982453561014], [-123.21470323160116, 49.27599688007298], [-123.21490810996158, 49.276020077402165], [-123.21506583547975, 49.27603793534147]"
Protected Bike Lanes,1990.0,"[-123.13594809746576, 49.29521671944339], [-123.13612603084177, 49.29542398059795], [-123.13587677716357, 49.29606007413748], [-123.1359512887923, 49.29633006427615], [-123.13597531950569, 49.29641713699963], [-123.13598785862958, 49.29646257027084], [-123.13600848928947, 49.29646157901234], [-123.13603180707743, 49.29646045865487], [-123.13608774858594, 49.2964577707022], [-123.13610755962709, 49.296456819070386]"
Painted Lanes,2008.0,"[-123.117024755091, 49.21230533641599], [-123.11702475640246, 49.21230531032833], [-123.11702494013633, 49.21229996784138], [-123.11704087427069, 49.21185620968721]"
Protected Bike Lanes,1998.0,"[-123.07968598623039, 49.23641773438914], [-123.07911711004874, 49.236411351965636]"
Protected Bike Lanes,1999.0,"[-123.06241959184568, 49.28572638077675], [-123.06240436172926, 49.28572656530799], [-123.06233971761053, 49.28572734769909], [-123.06217082500994, 49.28572939244128], [-123.06187934954943, 49.28572574483644], [-123.06161964434632, 49.28572245465777], [-123.06161958384187, 49.28572245379052]"
Protected Bike Lanes,2017.0,"[-123.1408975607247, 49.26687812854935], [-123.14113161617348, 49.26674582210412], [-123.1412432609987, 49.2666850706055], [-123.14137408409862, 49.26662847560478], [-123.1415517368873, 49.2665629682155], [-123.1416762332945, 49.26652832711873], [-123.14178478597094, 49.266504156980204], [-123.14190131998306, 49.26647788645248], [-123.14196917839907, 49.26646735246625], [-123.1420370367835, 49.26645681754067], [-123.14217915269668, 49.266438876323114], [-123.14231556245757, 49.266431334117605], [-123.1424618713397, 49.266433243399504], [-123.14316408054688, 49.26644281888417], [-123.14328577382754, 49.26644459570675]"
Protected Bike Lanes,1990.0,"[-123.13968758315909, 49.27457679635179], [-123.14541951669227, 49.27275418999906]"
Protected Bike Lanes,2018.0,"[-123.07705289664294, 49.28306820786658], [-123.07402817792247, 49.28323361944065]"
Painted Lanes,2007.0,"[-123.1251560547253, 49.22643601623765], [-123.12672641786389, 49.22649401474633]"
Painted Lanes,2003.0,"[-123.13216997893542, 49.29157887816692], [-123.13374007404094, 49.29259467647051]"
Painted Lanes,2017.0,"[-123.21174049066938, 49.274925627898725], [-123.21335326097987, 49.275395631284105], [-123.21461245520591, 49.27576257009524], [-123.21461245629864, 49.27576282195863], [-123.21477793229492, 49.27582697135509]"
Painted Lanes,2006.0,"[-123.1257426981391, 49.28888083656551], [-123.12574274357891, 49.28888085990348], [-123.12552165547231, 49.289027066646966]"
Protected Bike Lanes,2009.0,"[-123.10640368340901, 49.276570344866784], [-123.10643938387796, 49.27575019745925]"
Protected Bike Lanes,2009.0,"[-123.10434543969703, 49.28147314053142], [-123.104345439642, 49.281473114445454], [-123.10436818741118, 49.28092603683666]"
Painted Lanes,2003.0,"[-123.10638079666822, 49.277095778311086], [-123.10424349706254, 49.27705595082188], [-123.1042185554548, 49.277055613513085], [-123.1042155292517, 49.277055523592104], [-123.10411901138175, 49.27705147641583], [-123.1040695260242, 49.2770477834962], [-123.10406889211453, 49.27704773099556], [-123.10399566760358, 49.27704017350262], [-123.1039468061649, 49.27703373193992], [-123.10389829990915, 49.27702620161983], [-123.10385059206607, 49.27701914460806], [-123.10380261432753, 49.27700794643589], [-123.10370903721156, 49.276985470538506], [-123.10364051577729, 49.276965922515224], [-123.10357359820199, 49.27694410622701], [-123.10348717695575, 49.276911603099194], [-123.10344529011273, 49.27689392908659], [-123.10340433626476, 49.276875336714994], [-123.10336437044386, 49.27685584392647], [-123.1033063843642, 49.27682497033684], [-123.10326909504548, 49.27680332527299], [-123.10323295892334, 49.27678086960007], [-123.10319800353207, 49.27675762128495], [-123.10316427017261, 49.27673360727739], [-123.10313181389404, 49.27670885451483], [-123.10310064851909, 49.27668339896678], [-123.10307082909621, 49.276657267570705], [-123.10304238317717, 49.27663048728864], [-123.10284513527459, 49.27641004259861], [-123.10277892580686, 49.27633943083228]"
Painted Lanes,2006.0,"[-123.11885985043571, 49.28520843283294], [-123.11939490898949, 49.28555399477821]"
Protected Bike Lanes,2016.0,"[-123.11813081113384, 49.2761045805156], [-123.11896000787635, 49.2766337900719], [-123.11897220754435, 49.27664157543834]"
Protected Bike Lanes,2016.0,"[-123.14554681575474, 49.26977963233483], [-123.14558109525458, 49.26934384373552]"
Protected Bike Lanes,2006.0,"[-123.11250754085484, 49.28109783169082], [-123.11299301043972, 49.28141202013437], [-123.11347818196901, 49.281726051198866]"
